StartIdx,EndIdx,Start,End,CalcDur,DurField,Reverse
123,124,354.343,355.151,0.808,0.808,False
125,126,357.891,358.701,0.809,0.809,False
127,128,362.579,364.599,2.02,2.02,False
129,130,366.664,367.488,0.824,0.824,False
131,132,374.355,376.14,1.785,1.785,False
133,134,380.062,381.926,1.863,1.863,False
135,136,385.667,386.536,0.869,0.869,False
137,138,388.059,388.641,0.582,0.582,False
139,140,390.003,391.782,1.779,1.779,False
141,142,394.392,395.169,0.778,0.778,False
143,144,397.01,398.833,1.823,1.823,False
145,146,403.447,405.285,1.837,1.837,False
147,148,408.417,408.938,0.521,0.521,False
149,150,413.433,415.255,1.822,1.822,False
151,152,419.1,420.86,1.76,1.76,False
153,154,423.986,425.745,1.759,1.759,False
155,156,427.323,427.833,0.51,0.51,False
157,158,433.976,435.707,1.73,1.73,False
159,160,438.024,438.533,0.508,0.508,False
161,162,443.698,445.702,2.004,2.004,False
163,164,449.219,449.966,0.747,0.747,False
165,166,456.186,458.086,1.9,1.9,False
167,168,463.14,463.751,0.611,0.611,False
169,170,465.625,467.521,1.895,1.895,False
171,172,473.078,474.833,1.755,1.755,False
173,174,476.472,477.189,0.717,0.717,False
175,176,480.505,482.252,1.747,1.747,False
