Idx,Kind,T,DurField,Line
632,end,1850.876,1.772,"[silencedetect @ 000001d1ec14d600] silence_end: 1850.87625 | silence_duration: 1.772188"
633,start,1860.691,,"[silencedetect @ 000001d1ec14d600] silence_start: 1860.690938"
634,end,1862.505,1.814,"[silencedetect @ 000001d1ec14d600] silence_end: 1862.505125 | silence_duration: 1.814188"
635,start,1872.75,,"[silencedetect @ 000001d1ec14d600] silence_start: 1872.750438"
636,end,1874.821,2.07,"[silencedetect @ 000001d1ec14d600] silence_end: 1874.820625 | silence_duration: 2.070187"
637,start,1881.556,,"[silencedetect @ 000001d1ec14d600] silence_start: 1881.55625"
638,end,1882.369,0.812,"[silencedetect @ 000001d1ec14d600] silence_end: 1882.368563 | silence_duration: 0.812312"
639,start,1884.91,,"[silencedetect @ 000001d1ec14d600] silence_start: 1884.909938"
640,end,1886.699,1.789,"[silencedetect @ 000001d1ec14d600] silence_end: 1886.698562 | silence_duration: 1.788625"
641,start,1895.437,,"[silencedetect @ 000001d1ec14d600] silence_start: 1895.43725"
642,end,1896.191,0.754,"[silencedetect @ 000001d1ec14d600] silence_end: 1896.19125 | silence_duration: 0.754"
643,start,1896.778,,"[silencedetect @ 000001d1ec14d600] silence_start: 1896.77825"
644,end,1898.424,1.646,"[silencedetect @ 000001d1ec14d600] silence_end: 1898.424 | silence_duration: 1.64575"
